Entrenamiento,Email,Egresado,Precios US,Incluye pasantia,Primer contacto,Estatus laboral,Razon de retiro,Razon de eleccion del bootcamp,Proveedores de bootcamp,Horario de los bootcamps,Primer contacto_Instagram,Primer contacto_WhatsApp,Incluye pasantia_0,Incluye pasantia_1
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,Poco tiempo/ Costo del bootcamp / Razones laborales / etc,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,Costo del Bootcamp,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,1,El horario,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,1,El horario,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,Razones Laborales,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,hotmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,Razones personales,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
C#,gmail.com,Inscrito,2900.0,0,Instagram,1,Razones personales,Crecimiento laboral,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Automatización,gmail.com,Inscrito,299.0,0,Instagram,0,Disponibilidad de tiempo,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,hotmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Software Testing QA,gmail.com,Inscrito,299.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,hotmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,infinither.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,299.0,0,WhatsApp,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Software Testing QA,gmail.com,Inscrito,299.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,WhatsApp,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,WhatsApp,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,WhatsApp,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,WhatsApp,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",0.0,1.0,1.0,0.0
Bootcamp en Angular 13,gmail.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Angular 13,outlook.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Software Testing QA,hotmail.com,Inscrito,299.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Martes y jueves de 6:00 pm a 8:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,hotmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,outlook.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Angular 13,gmail.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con Java,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Crecimiento laboral,Maestros de Talendig,"Martes, jueves y viernes de 6:00 pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web,gmail.com,Inscrito,2900.0,1,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Martes, jueves y sábados de 4:00 pm a 6:00 pm",1.0,0.0,0.0,1.0
Bootcamp en Desarrollo Web con C#,gmail.com,Inscrito,2900.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Angular 13,gmail.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Desarrollo Web con C#,hotmail.com,Inscrito,2900.0,0,Instagram,1,N/A,Aprender algo nuevo,Maestros de Talendig,"Lunes, miércoles y viernes de 6:00pm a 8:00 pm",1.0,0.0,1.0,0.0
Bootcamp en Angular 13,gmail.com,Inscrito,499.0,0,Instagram,0,Disponibilidad de tiempo,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Angular 14,gmail.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Bootcamp en Angular 15,gmail.com,Inscrito,499.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 9:00 am a 4:00 pm,1.0,0.0,1.0,0.0
Certificación en Python,gmail.com,Inscrito,130.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificación en Python,gmail.com,Inscrito,130.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificación en Python,gmail.com,Inscrito,130.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificación en Python,gmail.com,Inscrito,130.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificación en Python,gmail.com,Inscrito,130.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificación en Python,gmail.com,Inscrito,130.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
Certificación en Python,gmail.com,Inscrito,130.0,0,Instagram,0,N/A,Aprender algo nuevo,Maestros de Talendig,Sabados de 4:00 am a 6:00 pm,1.0,0.0,1.0,0.0
